Designator;Comment;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED129;KPT-2012SRC-PRV;0805_LED;13.3824;-37.9412;45;TopLayer
LED130;KPT-2012SRC-PRV;0805_LED;19.2647;-37.9412;45;TopLayer
LED131;KPT-2012SRC-PRV;0805_LED;25.1471;-37.9412;45;TopLayer
LED132;KPT-2012SRC-PRV;0805_LED;31.0294;-37.9412;45;TopLayer
LED133;KPT-2012SRC-PRV;0805_LED;36.9118;-37.9412;45;TopLayer
LED134;KPT-2012SRC-PRV;0805_LED;42.7941;-37.9412;45;TopLayer
LED135;KPT-2012SRC-PRV;0805_LED;48.6765;-37.9412;45;TopLayer
LED136;KPT-2012SRC-PRV;0805_LED;54.5588;-37.9412;45;TopLayer
LED137;KPT-2012SRC-PRV;0805_LED;60.4412;-37.9412;45;TopLayer
LED138;KPT-2012SRC-PRV;0805_LED;66.3235;-37.9412;45;TopLayer
LED139;KPT-2012SRC-PRV;0805_LED;72.2059;-37.9412;45;TopLayer
LED140;KPT-2012SRC-PRV;0805_LED;78.0882;-37.9412;45;TopLayer
LED141;KPT-2012SRC-PRV;0805_LED;83.9706;-37.9412;45;TopLayer
LED142;KPT-2012SRC-PRV;0805_LED;89.8529;-37.9412;45;TopLayer
LED143;KPT-2012SRC-PRV;0805_LED;95.7353;-37.9412;45;TopLayer
LED144;KPT-2012SRC-PRV;0805_LED;101.6177;-37.9412;45;TopLayer
LED145;KPT-2012SRC-PRV;0805_LED;13.3824;-43.8235;45;TopLayer
LED146;KPT-2012SRC-PRV;0805_LED;19.2647;-43.8235;45;TopLayer
LED147;KPT-2012SRC-PRV;0805_LED;25.1471;-43.8235;45;TopLayer
LED148;KPT-2012SRC-PRV;0805_LED;31.0294;-43.8235;45;TopLayer
LED149;KPT-2012SRC-PRV;0805_LED;36.9118;-43.8235;45;TopLayer
LED150;KPT-2012SRC-PRV;0805_LED;42.7941;-43.8235;45;TopLayer
LED151;KPT-2012SRC-PRV;0805_LED;48.6765;-43.8235;45;TopLayer
LED152;KPT-2012SRC-PRV;0805_LED;54.5588;-43.8235;45;TopLayer
LED153;KPT-2012SRC-PRV;0805_LED;60.4412;-43.8235;45;TopLayer
LED154;KPT-2012SRC-PRV;0805_LED;66.3235;-43.8235;45;TopLayer
LED155;KPT-2012SRC-PRV;0805_LED;72.2059;-43.8235;45;TopLayer
LED156;KPT-2012SRC-PRV;0805_LED;78.0882;-43.8235;45;TopLayer
LED157;KPT-2012SRC-PRV;0805_LED;83.9706;-43.8235;45;TopLayer
LED158;KPT-2012SRC-PRV;0805_LED;89.8529;-43.8235;45;TopLayer
LED159;KPT-2012SRC-PRV;0805_LED;95.7353;-43.8235;45;TopLayer
LED160;KPT-2012SRC-PRV;0805_LED;101.6177;-43.8235;45;TopLayer
LED161;KPT-2012SRC-PRV;0805_LED;13.3824;-49.7059;45;TopLayer
LED162;KPT-2012SRC-PRV;0805_LED;19.2647;-49.7059;45;TopLayer
LED163;KPT-2012SRC-PRV;0805_LED;25.1471;-49.7059;45;TopLayer
LED164;KPT-2012SRC-PRV;0805_LED;31.0294;-49.7059;45;TopLayer
LED165;KPT-2012SRC-PRV;0805_LED;36.9118;-49.7059;45;TopLayer
LED166;KPT-2012SRC-PRV;0805_LED;42.7941;-49.7059;45;TopLayer
LED167;KPT-2012SRC-PRV;0805_LED;48.6765;-49.7059;45;TopLayer
LED168;KPT-2012SRC-PRV;0805_LED;54.5588;-49.7059;45;TopLayer
LED169;KPT-2012SRC-PRV;0805_LED;60.4412;-49.7059;45;TopLayer
LED170;KPT-2012SRC-PRV;0805_LED;66.3235;-49.7059;45;TopLayer
LED171;KPT-2012SRC-PRV;0805_LED;72.2059;-49.7059;45;TopLayer
LED172;KPT-2012SRC-PRV;0805_LED;78.0882;-49.7059;45;TopLayer
LED173;KPT-2012SRC-PRV;0805_LED;83.9706;-49.7059;45;TopLayer
LED174;KPT-2012SRC-PRV;0805_LED;89.8529;-49.7059;45;TopLayer
LED175;KPT-2012SRC-PRV;0805_LED;95.7353;-49.7059;45;TopLayer
LED176;KPT-2012SRC-PRV;0805_LED;101.6177;-49.7059;45;TopLayer
LED177;KPT-2012SRC-PRV;0805_LED;13.3824;-55.5882;45;TopLayer
LED178;KPT-2012SRC-PRV;0805_LED;19.2647;-55.5882;45;TopLayer
LED179;KPT-2012SRC-PRV;0805_LED;25.1471;-55.5882;45;TopLayer
LED180;KPT-2012SRC-PRV;0805_LED;31.0294;-55.5882;45;TopLayer
LED181;KPT-2012SRC-PRV;0805_LED;36.9118;-55.5882;45;TopLayer
LED182;KPT-2012SRC-PRV;0805_LED;42.7941;-55.5882;45;TopLayer
LED183;KPT-2012SRC-PRV;0805_LED;48.6765;-55.5882;45;TopLayer
LED184;KPT-2012SRC-PRV;0805_LED;54.5588;-55.5882;45;TopLayer
LED185;KPT-2012SRC-PRV;0805_LED;60.4412;-55.5882;45;TopLayer
LED186;KPT-2012SRC-PRV;0805_LED;66.3235;-55.5882;45;TopLayer
LED187;KPT-2012SRC-PRV;0805_LED;72.2059;-55.5882;45;TopLayer
LED188;KPT-2012SRC-PRV;0805_LED;78.0882;-55.5882;45;TopLayer
LED189;KPT-2012SRC-PRV;0805_LED;83.9706;-55.5882;45;TopLayer
LED190;KPT-2012SRC-PRV;0805_LED;89.8529;-55.5882;45;TopLayer
LED191;KPT-2012SRC-PRV;0805_LED;95.7353;-55.5882;45;TopLayer
LED192;KPT-2012SRC-PRV;0805_LED;101.6177;-55.5882;45;TopLayer
LED193;KPT-2012SRC-PRV;0805_LED;13.3824;-61.4706;45;TopLayer
LED194;KPT-2012SRC-PRV;0805_LED;19.2647;-61.4706;45;TopLayer
LED195;KPT-2012SRC-PRV;0805_LED;25.1471;-61.4706;45;TopLayer
LED196;KPT-2012SRC-PRV;0805_LED;31.0294;-61.4706;45;TopLayer
LED197;KPT-2012SRC-PRV;0805_LED;36.9118;-61.4706;45;TopLayer
LED198;KPT-2012SRC-PRV;0805_LED;42.7941;-61.4706;45;TopLayer
LED199;KPT-2012SRC-PRV;0805_LED;48.6765;-61.4706;45;TopLayer
LED200;KPT-2012SRC-PRV;0805_LED;54.5588;-61.4706;45;TopLayer
LED201;KPT-2012SRC-PRV;0805_LED;60.4412;-61.4706;45;TopLayer
LED202;KPT-2012SRC-PRV;0805_LED;66.3235;-61.4706;45;TopLayer
LED203;KPT-2012SRC-PRV;0805_LED;72.2059;-61.4706;45;TopLayer
LED204;KPT-2012SRC-PRV;0805_LED;78.0882;-61.4706;45;TopLayer
LED205;KPT-2012SRC-PRV;0805_LED;83.9706;-61.4706;45;TopLayer
